# file...... ./glm_output/meter_39.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_950:measured_real_power,trip_node_meter_951:measured_real_power,trip_node_meter_952:measured_real_power,trip_node_meter_953:measured_real_power,trip_node_meter_954:measured_real_power,trip_node_meter_955:measured_real_power,trip_node_meter_956:measured_real_power,trip_node_meter_957:measured_real_power,trip_node_meter_958:measured_real_power,trip_node_meter_959:measured_real_power
2021-12-25 02:18:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:19:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:20:00 UTC,+0,+0,+4435.24,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:21:00 UTC,+0,+0,+4426.28,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:22:00 UTC,+0,+0,+4429.76,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:23:00 UTC,+0,+0,+4436.44,+0,+0,+0,+0,+0,+0,+0
2021-12-25 02:24:00 UTC,+0,+0,+4428.94,+0,+0,+0,+4428.94,+0,+0,+0
2021-12-25 02:25:00 UTC,+0,+0,+4425.67,+0,+0,+0,+4425.67,+0,+0,+0
2021-12-25 02:26:00 UTC,+0,+0,+4423.16,+0,+0,+0,+4423.16,+0,+4423.16,+0
2021-12-25 02:27:00 UTC,+0,+0,+4419.4,+0,+0,+0,+4419.4,+0,+4419.4,+0
2021-12-25 02:28:00 UTC,+0,+0,+0,+0,+0,+0,+4423.53,+0,+4423.53,+0
2021-12-25 02:29:00 UTC,+0,+0,+0,+0,+0,+0,+4418.74,+0,+4418.74,+0
2021-12-25 02:30:00 UTC,+0,+0,+0,+0,+0,+0,+4435.06,+0,+4435.06,+0
2021-12-25 02:31:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4442.32,+0
2021-12-25 02:32:00 UTC,+0,+4445.49,+0,+0,+0,+4443.07,+0,+0,+4443.07,+0
2021-12-25 02:33:00 UTC,+0,+4432.71,+0,+0,+0,+4430.3,+0,+0,+4430.3,+0
2021-12-25 02:34:00 UTC,+0,+4423,+0,+0,+0,+4418.19,+0,+4418.19,+4418.19,+0
2021-12-25 02:35:00 UTC,+0,+4418.72,+0,+0,+0,+4413.9,+0,+4413.9,+4413.9,+0
2021-12-25 02:36:00 UTC,+0,+4409.82,+0,+0,+0,+4407.41,+0,+4407.41,+4407.41,+0
2021-12-25 02:37:00 UTC,+0,+0,+0,+0,+0,+4416.01,+0,+0,+4416.01,+0
2021-12-25 02:38:00 UTC,+0,+0,+0,+0,+0,+4414.36,+0,+0,+4414.36,+0
2021-12-25 02:39:00 UTC,+0,+0,+0,+0,+0,+4411.44,+4411.44,+0,+4411.44,+0
2021-12-25 02:40:00 UTC,+0,+0,+0,+0,+0,+4405.09,+4405.09,+0,+4405.09,+0
2021-12-25 02:41:00 UTC,+0,+0,+0,+0,+0,+0,+4414.16,+0,+0,+0
2021-12-25 02:42:00 UTC,+0,+0,+0,+0,+0,+0,+4403.18,+0,+4403.18,+0
2021-12-25 02:43:00 UTC,+0,+0,+0,+0,+0,+0,+4402.49,+0,+4402.49,+0
2021-12-25 02:44:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4412.4,+0
2021-12-25 02:45:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4421.27,+0
2021-12-25 02:46:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4433.78,+0
2021-12-25 02:47:00 UTC,+0,+0,+0,+0,+0,+0,+0,+0,+4430.49,+0
2021-12-25 02:48:00 UTC,+0,+0,+0,+0,+4423.31,+0,+0,+0,+4423.31,+0
2021-12-25 02:49:00 UTC,+0,+0,+0,+0,+4401.66,+0,+0,+4401.66,+4401.66,+0
2021-12-25 02:50:00 UTC,+0,+0,+0,+0,+4414.18,+0,+0,+4414.18,+4414.18,+0
2021-12-25 02:51:00 UTC,+0,+0,+0,+0,+4415.04,+0,+0,+4415.04,+4415.04,+0
2021-12-25 02:52:00 UTC,+0,+0,+0,+0,+4405.03,+0,+0,+4405.03,+4405.03,+0
2021-12-25 02:53:00 UTC,+0,+0,+0,+0,+4416.88,+0,+0,+4416.88,+4416.88,+0
2021-12-25 02:54:00 UTC,+0,+0,+0,+0,+4428.98,+0,+0,+4428.98,+4428.98,+0
2021-12-25 02:55:00 UTC,+0,+0,+0,+0,+4417.46,+0,+0,+4417.46,+4417.46,+0
2021-12-25 02:56:00 UTC,+0,+0,+0,+0,+4430.67,+0,+0,+4430.67,+4430.67,+0
2021-12-25 02:57:00 UTC,+0,+0,+0,+0,+4431.92,+0,+0,+4431.92,+4431.92,+0
2021-12-25 02:58:00 UTC,+0,+0,+0,+0,+4416.89,+0,+0,+4416.89,+4416.89,+0
2021-12-25 02:59:00 UTC,+0,+0,+0,+0,+4417.67,+0,+0,+4417.67,+4417.67,+0
2021-12-25 03:00:00 UTC,+0,+0,+0,+0,+4431.7,+0,+0,+0,+4431.7,+0
2021-12-25 03:01:00 UTC,+0,+0,+0,+0,+4448.33,+0,+0,+0,+4448.33,+0
2021-12-25 03:02:00 UTC,+0,+0,+0,+0,+4451.43,+0,+0,+0,+4451.43,+0
2021-12-25 03:03:00 UTC,+0,+0,+0,+0,+4442.65,+0,+0,+0,+0,+0
2021-12-25 03:04:00 UTC,+0,+0,+0,+0,+4441.42,+0,+4441.42,+0,+0,+0
2021-12-25 03:05:00 UTC,+0,+0,+0,+0,+4439.83,+0,+4439.83,+0,+0,+0
2021-12-25 03:06:00 UTC,+0,+0,+0,+0,+4447.75,+0,+4447.75,+0,+0,+0
2021-12-25 03:07:00 UTC,+0,+0,+0,+0,+4447.01,+0,+4447.01,+0,+0,+0
2021-12-25 03:08:00 UTC,+0,+0,+0,+0,+4435.81,+0,+4435.81,+0,+0,+0
2021-12-25 03:09:00 UTC,+4430.63,+0,+0,+0,+4430.63,+0,+4430.63,+0,+0,+0
2021-12-25 03:10:00 UTC,+4417.69,+0,+0,+0,+4415.29,+0,+4415.29,+0,+0,+0
2021-12-25 03:11:00 UTC,+4428.9,+0,+0,+0,+4426.49,+0,+4426.49,+0,+0,+0
2021-12-25 03:12:00 UTC,+4421.01,+0,+0,+0,+4418.6,+0,+4418.6,+0,+0,+0
